"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1146","test_username_empty[chromium]","tests.ui","2026-09-05","passed","2026-09-05","","test_reset_pwd","",""
"","5095","test_create_and_delete_report[chromium]","tests.ui","2026-09-05","passed","2026-09-05","","test_reports","",""
"","1383","test_search_for_non_existent_report_shows_no_results[chromium]","tests.ui","2026-09-05","passed","2026-09-05","","test_reports","",""
"","332","test_login_with_empty_credentials[chromium]","tests.ui","2026-09-05","passed","2026-09-05","","test_login","",""
"","1573","test_reset_password_cancel[chromium]","tests.ui","2026-09-05","passed","2026-09-05","","test_reset_pwd","",""
"","10150","test_add_and_delete_employee[chromium]","tests.ui","2026-09-05","passed","2026-09-05","","test_pim","",""
"","2610","test_search_results_are_filtered_to_the_searched_report[chromium]","tests.ui","2026-09-05","passed","2026-09-05","","test_reports","",""
"","2744","test_login_with_invalid_password[chromium]","tests.ui","2026-09-05","passed","2026-09-05","","test_login","",""
"","5466","test_create_report[chromium]","tests.ui","2026-09-05","passed","2026-09-05","","test_reports","",""
"","5932","test_cancel_report_deletion[chromium]","tests.ui","2026-09-05","passed","2026-09-05","","test_reports","",""
"","2768","test_autocomplete_suggests_matching_report_names[chromium]","tests.ui","2026-09-05","passed","2026-09-05","","test_reports","",""
"","2809","test_reset_restores_full_report_list[chromium]","tests.ui","2026-09-05","passed","2026-09-05","","test_reports","",""
"","3627","test_search_by_employee_name_filters_results[chromium]","tests.ui","2026-09-05","passed","2026-09-05","","test_pim","",""
"","272","test_create_employee_minimal","tests.api","2026-09-05","passed","2026-09-05","","test_employees_api","",""
"","267","test_create_employee_with_middle_name","tests.api","2026-09-05","passed","2026-09-05","","test_employees_api","",""
"","1781","test_successful_login[chromium]","tests.ui","2026-09-05","passed","2026-09-05","","test_login","",""
"","298","test_get_employees_returns_data","tests.api","2026-09-05","passed","2026-09-05","","test_employees_api","",""
"","1008","test_page_loads[chromium]","tests.ui","2026-09-05","passed","2026-09-05","","test_reset_pwd","",""
"","2842","test_search_by_existing_report_returns_matching_row[chromium]","tests.ui","2026-09-05","passed","2026-09-05","","test_reports","",""
"","0","test_reset_password[chromium]","tests.ui","2026-09-05","skipped","2026-09-05","","test_reset_pwd","",""
"","841","test_create_employee_with_login","tests.api","2026-09-05","passed","2026-09-05","","test_employees_api","",""
